Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Town,Address_State,Address_Postcode,LGA_Name,longitude,latitude,score
Government,1,8030,Mentone Girls Secondary College,Secondary,Cnr Balcombe & Charman Rds,Mentone,VIC,3194,Kingston (C),145.053504,-37.980182,30
Government,1,8045,Mildura Senior College,Secondary,307-339 Deakin Avenue,Mildura,VIC,3500,Mildura (RC),142.1453901,-34.19800387,27
Government,1,8050,Mirboo North Secondary College,Secondary,Castle Street,Mirboo North,VIC,3871,South Gippsland (S),146.148821,-38.40018,24
Government,1,8065,Monbulk College,Secondary,146-148 David Hill Road,Monbulk,VIC,3793,Yarra Ranges (S),145.4278068,-37.88317535,25
Government,1,8068,Montmorency Secondary College,Secondary,Para Road,Montmorency,VIC,3094,Banyule (C),145.113611,-37.714075,28
Government,1,8071,Mooroolbark College,Secondary,186 Manchester Road,Mooroolbark,VIC,3138,Yarra Ranges (S),145.3142304,-37.77508326,29
Government,1,8075,Mordialloc College,Secondary,1 Station Street,Mordialloc,VIC,3195,Kingston (C),145.092675,-38.012243,30
Government,1,8100,Mount Beauty Secondary College,Secondary,Tailrace Road,Mount Beauty,VIC,3699,Alpine (S),147.167284,-36.740307,27
Government,1,8102,Mount Eliza Secondary College,Secondary,204 Canadian Bay Road,Mount Eliza,VIC,3930,Mornington Peninsula (S),145.093544,-38.189704,29
Government,1,8105,Mount Waverley Secondary College,Secondary,9 Lechte Road,Mount Waverley,VIC,3149,Monash (C),145.132311,-37.869086,30
Government,1,8125,McKinnon Secondary College,Secondary,291a Mckinnon Road,Mckinnon,VIC,3204,Glen Eira (C),145.048545,-37.912204,33
Government,1,8135,MacRobertson Girls High School,Secondary,350-370 Kings Way,Melbourne,VIC,3004,Port Phillip (C),144.971862,-37.835886,36
Government,1,8140,Nathalia Secondary College,Secondary,41 Chapel Street,Nathalia,VIC,3638,Moira (S),145.208438,-36.059901,31
Government,1,8145,Neerim District Secondary College,Secondary,20 Neerim East Road,Neerim South,VIC,3831,Baw Baw (S),145.95668,-38.016936,23
Government,1,8151,Newcomb Secondary College,Secondary,81 - 85 Bellarine Highway,Newcomb,VIC,3219,Greater Geelong (C),144.395201,-38.171133,25
Government,1,8180,Northcote High School,Secondary,St Georges Road,Northcote,VIC,3070,Darebin (C),144.989706,-37.774156,31
Government,1,8185,Norwood Secondary College,Secondary,Byron Street,Ringwood,VIC,3134,Maroondah (C),145.237605,-37.799752,28
Government,1,8190,Numurkah Secondary College,Secondary,104 Tocumwal Road,Numurkah,VIC,3636,Moira (S),145.446271,-36.079948,26
Government,1,8210,Oberon High School,Secondary,12 Pickett Crescent,Belmont,VIC,3216,Greater Geelong (C),144.337409,-38.18665,30
Government,1,8215,Orbost Secondary College,Secondary,20 Arnold Street,Orbost,VIC,3888,East Gippsland (S),148.466353,-37.704106,26
Government,1,8220,Ouyen P-12 College,Pri/Sec,1-35 Fuller Street,Ouyen,VIC,3490,Mildura (RC),142.322608,-35.064571,31
Government,1,8223,Pakenham Secondary College,Secondary,1020 Princes Highway,Pakenham,VIC,3810,Cardinia (S),145.471002,-38.068997,28
Government,1,8225,Parkdale Secondary College,Secondary,Warren Road,Mordialloc,VIC,3195,Kingston (C),145.093501,-37.990301,30
Government,1,8227,Pascoe Vale Girls Secondary College,Secondary,Lake Avenue,Pascoe Vale,VIC,3044,Moreland (C),144.935499,-37.717564,28
Government,1,8245,Princes Hill Secondary College,Secondary,Arnold Street,Princes Hill,VIC,3054,Yarra (C),144.96503,-37.783481,32
Government,1,8250,Bellarine Secondary College,Secondary,Peninsula Drive,Drysdale,VIC,3222,Greater Geelong (C),144.557527,-38.190662,29
Government,1,8256,Rainbow P-12 College,Pri/Sec,17 Albert Street,Rainbow,VIC,3424,Hindmarsh (S),141.9966997,-35.89446757,23
Government,1,8260,Red Cliffs Secondary College,Secondary,55 Fitzroy Avenue,Red Cliffs,VIC,3496,Mildura (RC),142.195452,-34.298804,20
Government,1,8270,Ringwood Secondary College,Secondary,Bedford Road,Ringwood,VIC,3134,Maroondah (C),145.239147,-37.816606,30
